"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.927192412E2,2.977907410E0,-9.785900116E0,1.206056992E1
1.927393432E2,4.412374420E0,-7.560777283E0,1.188244034E1
1.927594452E2,4.052373047E0,-9.978100433E0,9.319020996E0
1.927795472E2,1.650467834E0,-1.182615738E1,5.267396393E0
1.927996482E2,1.619631958E-1,-1.085228256E1,7.896080017E-1
1.928197502E2,2.017354889E0,-9.189689941E0,-2.101030884E0
1.928398522E2,4.109105072E0,-1.033391052E1,-1.244961090E0
1.928599542E2,3.982019348E0,-1.337124435E1,-5.933660889E-1
1.928800562E2,5.855822754E-1,-1.427731018E1,-2.477348328E0
1.929001582E2,-2.164798279E0,-1.322425003E1,-1.934427338E0
1.929202602E2,-3.867507477E0,-1.131287476E1,1.670226746E0
1.929403622E2,-5.153932343E0,-1.039872574E1,3.216211853E0
1.929604642E2,-5.097200317E0,-8.099357300E0,2.189197540E0
1.929805652E2,-3.780987396E0,-2.955603790E0,5.065466309E-1
1.930006672E2,1.868414612E0,-5.821394348E0,3.033441925E0
1.930207692E2,8.248596954E0,-3.070265350E0,9.782157898E-1
1.930408712E2,1.387749161E1,-3.172652435E0,-5.348377991E-1
1.930609732E2,1.379695908E1,-4.350253601E0,-3.100053406E-1
1.930810752E2,1.482651810E1,-3.146905975E0,-2.232158203E0
1.931011772E2,1.427521454E1,-2.835403748E0,-1.801354065E0
1.931212792E2,1.266306702E1,-2.006726990E0,3.740721130E-1
1.931413812E2,1.190609116E1,-2.429597626E0,4.183799744E0
1.931614832E2,1.185759201E1,-3.549718323E0,5.920937347E0
1.931815852E2,1.144160706E1,-4.658312988E0,7.675289154E0
1.932016862E2,1.288295975E1,-6.336323547E0,8.800199890E0
1.932217882E2,1.333457062E1,-6.009702759E0,1.034648438E1
1.932418902E2,1.200159256E1,-6.820716248E0,1.170730453E1
1.932619922E2,1.070708450E1,-7.235803070E0,1.267219803E1
1.932820942E2,8.896150360E0,-7.323969727E0,1.188483536E1
1.933021962E2,6.881340179E0,-7.558981018E0,9.856852570E0
1.933222982E2,5.470374298E0,-6.938521271E0,8.048014069E0
1.933424002E2,3.815715179E0,-6.473288727E0,7.947273560E0
1.933625022E2,2.684068451E0,-6.236331482E0,7.843239899E0
1.933826042E2,1.590292969E0,-5.525459747E0,7.163353729E0
1.934027052E2,1.740730133E0,-5.378166046E0,6.438111877E0
1.934228072E2,2.241588593E0,-5.222340088E0,6.314169617E0
1.934429092E2,2.318528595E0,-3.957470398E0,6.143374786E0
1.934630112E2,1.534608765E0,-3.288361816E0,5.092709656E0
1.934831132E2,1.566642151E0,-2.828817444E0,4.630171509E0
1.935032152E2,3.056793365E0,-2.544109497E0,4.893174591E0
1.935233172E2,3.059487762E0,-1.107846222E0,4.434228973E0
1.935434192E2,8.103548584E0,2.305206299E-1,4.642745361E0
1.935635212E2,4.565206604E0,1.305585022E0,5.026247864E0
1.935836232E2,4.280947723E0,7.283853149E-1,7.378306732E0
1.936037242E2,2.082768860E0,1.065484314E0,8.104297028E0
1.936238262E2,1.625769196E0,1.250200195E0,9.399703217E0
1.936439282E2,3.083138580E0,2.369123383E0,9.164841614E0
1.936640302E2,4.154760132E0,2.631078644E0,8.902586975E0
1.936841322E2,4.069736938E0,2.689756622E0,9.332043915E0
1.937042342E2,4.085154877E0,2.856659546E0,9.304351501E0
1.937243362E2,4.818928986E0,2.536026306E0,8.475674744E0
1.937444382E2,4.651127930E0,3.000809784E0,8.509205017E0
1.937645402E2,3.472778320E0,2.967279510E0,8.508306885E0
1.937846422E2,2.834056549E0,2.586022339E0,7.748187561E0
1.938047432E2,3.215912476E0,2.253264313E0,8.530909882E0
1.938248452E2,3.246149597E0,1.435065765E0,9.655371552E0
1.938449472E2,2.294279022E0,1.394500122E0,1.109402985E1
1.938650492E2,2.228116608E0,1.200054474E0,1.130149841E1
1.938851512E2,1.938019867E0,8.138575745E-1,1.070738388E1
